Timestamp,Device,Power_Consumption_Watt
2025-04-22 00:00:00,Fridge,191
2025-04-22 00:00:00,Washing machine,1260
2025-04-22 00:00:00,TV,232
2025-04-22 00:00:00,Laptop,37
2025-04-22 00:00:00,Heater,1844
2025-04-22 01:00:00,Fridge,128
2025-04-22 01:00:00,Washing machine,975
2025-04-22 01:00:00,TV,122
2025-04-22 01:00:00,Laptop,70
2025-04-22 01:00:00,Heater,1172
2025-04-22 02:00:00,Fridge,108
2025-04-22 02:00:00,Washing machine,664
2025-04-22 02:00:00,TV,247
2025-04-22 02:00:00,Laptop,75
2025-04-22 02:00:00,Heater,1416
2025-04-22 03:00:00,Fridge,133
2025-04-22 03:00:00,Washing machine,588
2025-04-22 03:00:00,TV,290
2025-04-22 03:00:00,Laptop,42
2025-04-22 03:00:00,Heater,1819
2025-04-22 04:00:00,Fridge,142
2025-04-22 04:00:00,Washing machine,765
2025-04-22 04:00:00,TV,105
2025-04-22 04:00:00,Laptop,51
2025-04-22 04:00:00,Heater,1294
2025-04-22 05:00:00,Fridge,150
2025-04-22 05:00:00,Washing machine,1107
2025-04-22 05:00:00,TV,162
2025-04-22 05:00:00,Laptop,57
2025-04-22 05:00:00,Heater,1303
2025-04-22 06:00:00,Fridge,105
2025-04-22 06:00:00,Washing machine,841
2025-04-22 06:00:00,TV,170
2025-04-22 06:00:00,Laptop,31
2025-04-22 06:00:00,Heater,1717
2025-04-22 07:00:00,Fridge,123
2025-04-22 07:00:00,Washing machine,860
2025-04-22 07:00:00,TV,250
2025-04-22 07:00:00,Laptop,54
2025-04-22 07:00:00,Heater,1970
2025-04-22 08:00:00,Fridge,152
2025-04-22 08:00:00,Washing machine,593
2025-04-22 08:00:00,TV,203
2025-04-22 08:00:00,Laptop,68
2025-04-22 08:00:00,Heater,1866
2025-04-22 09:00:00,Fridge,134
2025-04-22 09:00:00,Washing machine,759
2025-04-22 09:00:00,TV,203
2025-04-22 09:00:00,Laptop,53
2025-04-22 09:00:00,Heater,1229
2025-04-22 10:00:00,Fridge,186
2025-04-22 10:00:00,Washing machine,1390
2025-04-22 10:00:00,TV,227
2025-04-22 10:00:00,Laptop,58
2025-04-22 10:00:00,Heater,1031
2025-04-22 11:00:00,Fridge,153
2025-04-22 11:00:00,Washing machine,839
2025-04-22 11:00:00,TV,114
2025-04-22 11:00:00,Laptop,36
2025-04-22 11:00:00,Heater,1471
2025-04-22 12:00:00,Fridge,196
2025-04-22 12:00:00,Washing machine,740
2025-04-22 12:00:00,TV,242
2025-04-22 12:00:00,Laptop,85
2025-04-22 12:00:00,Heater,1832
2025-04-22 13:00:00,Fridge,198
2025-04-22 13:00:00,Washing machine,777
2025-04-22 13:00:00,TV,279
2025-04-22 13:00:00,Laptop,85
2025-04-22 13:00:00,Heater,1068
2025-04-22 14:00:00,Fridge,140
2025-04-22 14:00:00,Washing machine,704
2025-04-22 14:00:00,TV,160
2025-04-22 14:00:00,Laptop,60
2025-04-22 14:00:00,Heater,1389
2025-04-22 15:00:00,Fridge,123
2025-04-22 15:00:00,Washing machine,769
2025-04-22 15:00:00,TV,139
2025-04-22 15:00:00,Laptop,80
2025-04-22 15:00:00,Heater,1453
2025-04-22 16:00:00,Fridge,191
2025-04-22 16:00:00,Washing machine,1306
2025-04-22 16:00:00,TV,241
2025-04-22 16:00:00,Laptop,35
2025-04-22 16:00:00,Heater,1665
2025-04-22 17:00:00,Fridge,108
2025-04-22 17:00:00,Washing machine,1388
2025-04-22 17:00:00,TV,249
2025-04-22 17:00:00,Laptop,75
2025-04-22 17:00:00,Heater,1732
2025-04-22 18:00:00,Fridge,166
2025-04-22 18:00:00,Washing machine,1003
2025-04-22 18:00:00,TV,156
2025-04-22 18:00:00,Laptop,37
2025-04-22 18:00:00,Heater,1533
2025-04-22 19:00:00,Fridge,115
2025-04-22 19:00:00,Washing machine,1307
2025-04-22 19:00:00,TV,114
2025-04-22 19:00:00,Laptop,32
2025-04-22 19:00:00,Heater,1109
2025-04-22 20:00:00,Fridge,103
2025-04-22 20:00:00,Washing machine,720
2025-04-22 20:00:00,TV,196
2025-04-22 20:00:00,Laptop,55
2025-04-22 20:00:00,Heater,1679
2025-04-22 21:00:00,Fridge,185
2025-04-22 21:00:00,Washing machine,661
2025-04-22 21:00:00,TV,291
2025-04-22 21:00:00,Laptop,59
2025-04-22 21:00:00,Heater,1180
2025-04-22 22:00:00,Fridge,171
2025-04-22 22:00:00,Washing machine,1055
2025-04-22 22:00:00,TV,120
2025-04-22 22:00:00,Laptop,38
2025-04-22 22:00:00,Heater,1501
2025-04-22 23:00:00,Fridge,102
2025-04-22 23:00:00,Washing machine,716
2025-04-22 23:00:00,TV,225
2025-04-22 23:00:00,Laptop,77
2025-04-22 23:00:00,Heater,1272
2025-04-23 00:00:00,Fridge,163
2025-04-23 00:00:00,Washing machine,516
2025-04-23 00:00:00,TV,235
2025-04-23 00:00:00,Laptop,85
2025-04-23 00:00:00,Heater,1478
2025-04-23 01:00:00,Fridge,168
2025-04-23 01:00:00,Washing machine,1024
2025-04-23 01:00:00,TV,251
2025-04-23 01:00:00,Laptop,42
2025-04-23 01:00:00,Heater,1465
2025-04-23 02:00:00,Fridge,197
2025-04-23 02:00:00,Washing machine,687
2025-04-23 02:00:00,TV,106
2025-04-23 02:00:00,Laptop,45
2025-04-23 02:00:00,Heater,1328
2025-04-23 03:00:00,Fridge,117
2025-04-23 03:00:00,Washing machine,690
2025-04-23 03:00:00,TV,194
2025-04-23 03:00:00,Laptop,45
2025-04-23 03:00:00,Heater,1979
2025-04-23 04:00:00,Fridge,131
2025-04-23 04:00:00,Washing machine,678
2025-04-23 04:00:00,TV,169
2025-04-23 04:00:00,Laptop,76
2025-04-23 04:00:00,Heater,1306
2025-04-23 05:00:00,Fridge,154
2025-04-23 05:00:00,Washing machine,604
2025-04-23 05:00:00,TV,147
2025-04-23 05:00:00,Laptop,63
2025-04-23 05:00:00,Heater,1142
2025-04-23 06:00:00,Fridge,136
2025-04-23 06:00:00,Washing machine,1338
2025-04-23 06:00:00,TV,103
2025-04-23 06:00:00,Laptop,58
2025-04-23 06:00:00,Heater,1039
2025-04-23 07:00:00,Fridge,151
2025-04-23 07:00:00,Washing machine,1429
2025-04-23 07:00:00,TV,220
2025-04-23 07:00:00,Laptop,54
2025-04-23 07:00:00,Heater,1114
2025-04-23 08:00:00,Fridge,149
2025-04-23 08:00:00,Washing machine,983
2025-04-23 08:00:00,TV,251
2025-04-23 08:00:00,Laptop,51
2025-04-23 08:00:00,Heater,1944
2025-04-23 09:00:00,Fridge,119
2025-04-23 09:00:00,Washing machine,1040
2025-04-23 09:00:00,TV,237
2025-04-23 09:00:00,Laptop,63
2025-04-23 09:00:00,Heater,1321
2025-04-23 10:00:00,Fridge,117
2025-04-23 10:00:00,Washing machine,708
2025-04-23 10:00:00,TV,218
2025-04-23 10:00:00,Laptop,85
2025-04-23 10:00:00,Heater,1966
2025-04-23 11:00:00,Fridge,105
2025-04-23 11:00:00,Washing machine,1380
2025-04-23 11:00:00,TV,240
2025-04-23 11:00:00,Laptop,74
2025-04-23 11:00:00,Heater,1516
2025-04-23 12:00:00,Fridge,191
2025-04-23 12:00:00,Washing machine,1484
2025-04-23 12:00:00,TV,184
2025-04-23 12:00:00,Laptop,42
2025-04-23 12:00:00,Heater,1540
2025-04-23 13:00:00,Fridge,152
2025-04-23 13:00:00,Washing machine,1361
2025-04-23 13:00:00,TV,224
2025-04-23 13:00:00,Laptop,87
2025-04-23 13:00:00,Heater,1344
2025-04-23 14:00:00,Fridge,100
2025-04-23 14:00:00,Washing machine,971
2025-04-23 14:00:00,TV,192
2025-04-23 14:00:00,Laptop,55
2025-04-23 14:00:00,Heater,1680
2025-04-23 15:00:00,Fridge,147
2025-04-23 15:00:00,Washing machine,1469
2025-04-23 15:00:00,TV,237
2025-04-23 15:00:00,Laptop,39
2025-04-23 15:00:00,Heater,1040
2025-04-23 16:00:00,Fridge,134
2025-04-23 16:00:00,Washing machine,1089
2025-04-23 16:00:00,TV,151
2025-04-23 16:00:00,Laptop,58
2025-04-23 16:00:00,Heater,1294
2025-04-23 17:00:00,Fridge,124
2025-04-23 17:00:00,Washing machine,938
2025-04-23 17:00:00,TV,111
2025-04-23 17:00:00,Laptop,71
2025-04-23 17:00:00,Heater,1395
2025-04-23 18:00:00,Fridge,164
2025-04-23 18:00:00,Washing machine,1445
2025-04-23 18:00:00,TV,209
2025-04-23 18:00:00,Laptop,75
2025-04-23 18:00:00,Heater,1104
2025-04-23 19:00:00,Fridge,192
2025-04-23 19:00:00,Washing machine,1038
2025-04-23 19:00:00,TV,128
2025-04-23 19:00:00,Laptop,59
2025-04-23 19:00:00,Heater,1287
2025-04-23 20:00:00,Fridge,109
2025-04-23 20:00:00,Washing machine,847
2025-04-23 20:00:00,TV,295
2025-04-23 20:00:00,Laptop,61
2025-04-23 20:00:00,Heater,1659
2025-04-23 21:00:00,Fridge,158
2025-04-23 21:00:00,Washing machine,672
2025-04-23 21:00:00,TV,208
2025-04-23 21:00:00,Laptop,48
2025-04-23 21:00:00,Heater,1286
2025-04-23 22:00:00,Fridge,161
2025-04-23 22:00:00,Washing machine,1030
2025-04-23 22:00:00,TV,294
2025-04-23 22:00:00,Laptop,80
2025-04-23 22:00:00,Heater,1595
2025-04-23 23:00:00,Fridge,149
2025-04-23 23:00:00,Washing machine,598
2025-04-23 23:00:00,TV,236
2025-04-23 23:00:00,Laptop,77
2025-04-23 23:00:00,Heater,1808
2025-04-24 00:00:00,Fridge,150
2025-04-24 00:00:00,Washing machine,1199
2025-04-24 00:00:00,TV,130
2025-04-24 00:00:00,Laptop,51
2025-04-24 00:00:00,Heater,1974
2025-04-24 01:00:00,Fridge,193
2025-04-24 01:00:00,Washing machine,648
2025-04-24 01:00:00,TV,236
2025-04-24 01:00:00,Laptop,85
2025-04-24 01:00:00,Heater,1228
2025-04-24 02:00:00,Fridge,134
2025-04-24 02:00:00,Washing machine,1268
2025-04-24 02:00:00,TV,128
2025-04-24 02:00:00,Laptop,31
2025-04-24 02:00:00,Heater,1863
2025-04-24 03:00:00,Fridge,169
2025-04-24 03:00:00,Washing machine,1294
2025-04-24 03:00:00,TV,205
2025-04-24 03:00:00,Laptop,47
2025-04-24 03:00:00,Heater,1879
2025-04-24 04:00:00,Fridge,196
2025-04-24 04:00:00,Washing machine,1168
2025-04-24 04:00:00,TV,293
2025-04-24 04:00:00,Laptop,81
2025-04-24 04:00:00,Heater,1779
2025-04-24 05:00:00,Fridge,168
2025-04-24 05:00:00,Washing machine,1395
2025-04-24 05:00:00,TV,186
2025-04-24 05:00:00,Laptop,82
2025-04-24 05:00:00,Heater,1056
2025-04-24 06:00:00,Fridge,160
2025-04-24 06:00:00,Washing machine,942
2025-04-24 06:00:00,TV,164
2025-04-24 06:00:00,Laptop,83
